CUSTOMER_ID;FIRST_NAME;LAST_NAME;BIRTH_DATE;AGE
1;Daniel;Jones;09/25/1980;42
2;William;Yates;11/10/1999;23
3;Samuel;Hughes;06/05/1995;27
4;Monica;Harris;04/29/1970;52
5;Annie;Taylor;03/20/1976;46
6;Gabriel;Williams;08/13/1979;43
7;Carl;Patterson;04/15/1945;77
8;Jason;Smith;02/19/1957;65
9;James;Miller;01/14/1988;34
10;Glenn;Davis;05/26/1971;51
11;Gregory;Jameson;07/20/1960;62
12;George;Brown;11/15/2000;22
13;Lucas;Washington;08/05/2004;18
14;Jordan;Rudess;11/04/1956;66
15;Amy;Harrisson;04/10/1975;47
